route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
1,1,1,"HOBOKEN",0,"1002",1
1,1,2,"HOBOKEN",0,"1000",2
1,1,3,"HOBOKEN",0,"1070",3
1,1,4,"HOBOKEN",0,"1006",4
1,1,5,"HOBOKEN",0,"1074",5
1,2,6,"HOBOKEN",0,"1090",6
1,2,7,"HOBOKEN",0,"1092",7
1,2,8,"HOBOKEN",0,"1094",8
1,1,9,"DOVER",1,"1009",9
1,1,10,"MOUNT OLIVE",1,"1055",10
1,1,11,"DENVILLE",1,"1003",11
1,1,12,"LAKE HOPATCONG",1,"1011",12
1,1,13,"DOVER",1,"1001",13
1,1,14,"HACKETTSTOWN",1,"1079",14
1,1,15,"MOUNT OLIVE",1,"1061",15
1,1,16,"HACKETTSTOWN",1,"1085",16
1,1,17,"HACKETTSTOWN",1,"1087",17
1,2,18,"LAKE HOPATCONG",1,"1091",18
1,2,19,"LAKE HOPATCONG",1,"1093",19
1,2,20,"LAKE HOPATCONG",1,"1095",20
2,1,21,"HOBOKEN",0,"0262",21
2,1,22,"NEW YORK PENN STATION",0,"6210",22
2,1,23,"HOBOKEN",0,"0250",23
2,1,24,"NEW YORK PENN STATION",0,"6252",24
2,1,25,"NEW YORK PENN STATION",0,"6278",25
2,1,26,"NEW YORK PENN STATION",0,"6280",26
2,1,27,"HOBOKEN",0,"0204",27
2,1,28,"HOBOKEN",0,"0208",28
2,1,29,"HOBOKEN",0,"0212",29
2,1,30,"NEW YORK PENN STATION",0,"6206",30
2,1,31,"NEW YORK PENN STATION",0,"6214",31
2,1,32,"NEW YORK PENN STATION",0,"6202",32
2,1,33,"NEW YORK PENN STATION",0,"6204",33
2,1,34,"NEW YORK PENN STATION",0,"6216",34
2,1,35,"NEW YORK PENN STATION",0,"6222",35
2,1,36,"NEW YORK PENN STATION",0,"6226",36
2,1,37,"NEW YORK PENN STATION",0,"6230",37
2,1,38,"NEW YORK PENN STATION",0,"6234",38
2,1,39,"NEW YORK PENN STATION",0,"6242",39
2,1,40,"NEW YORK PENN STATION",0,"6248",40
2,1,41,"NEW YORK PENN STATION",0,"6258",41
2,1,42,"NEW YORK PENN STATION",0,"6264",42
2,1,43,"NEW YORK PENN STATION",0,"6274",43
2,1,44,"NEW YORK PENN STATION",0,"6238",44
2,1,45,"NEW YORK PENN STATION",0,"6270",45
2,1,46,"NEW YORK PENN STATION",0,"6200",46
2,3,47,"HOBOKEN",0,"0510",47
2,3,48,"HOBOKEN",0,"0514",48
2,3,49,"HOBOKEN",0,"0518",49
2,3,50,"HOBOKEN",0,"0522",50
2,3,51,"HOBOKEN",0,"0526",51
2,3,52,"HOBOKEN",0,"0530",52
2,3,53,"HOBOKEN",0,"0534",53
2,3,54,"HOBOKEN",0,"0538",54
2,4,55,"HOBOKEN",0,"0544",55
2,2,56,"HOBOKEN",0,"9540",56
2,2,57,"HOBOKEN",0,"9544",57
2,2,58,"NEW YORK PENN STATION",0,"9200",58
2,2,59,"NEW YORK PENN STATION",0,"9202",59
2,2,60,"NEW YORK PENN STATION",0,"9208",60
2,2,61,"NEW YORK PENN STATION",0,"9212",61
2,2,62,"NEW YORK PENN STATION",0,"9216",62
2,2,63,"NEW YORK PENN STATION",0,"9228",63
2,2,64,"NEW YORK PENN STATION",0,"9230",64
2,2,65,"NEW YORK PENN STATION",0,"9232",65
2,2,66,"NEW YORK PENN STATION",0,"9236",66
2,2,67,"NEW YORK PENN STATION",0,"9204",67
2,5,68,"HOBOKEN",0,"0544",68
2,2,69,"HOBOKEN",0,"9530",69
2,5,70,"HOBOKEN",0,"0530",70
2,5,71,"HOBOKEN",0,"0538",71
2,6,72,"HOBOKEN",0,"0510",72
2,6,73,"HOBOKEN",0,"0514",73
2,6,74,"HOBOKEN",0,"0518",74
2,6,75,"HOBOKEN",0,"0522",75
2,6,76,"HOBOKEN",0,"0526",76
2,6,77,"HOBOKEN",0,"0534",77
2,1,78,"MSU",1,"6299",78
2,1,79,"MSU",1,"0211",79
2,1,80,"MSU",1,"6263",80
2,1,81,"MSU",1,"6279",81
2,1,82,"MSU",1,"6213",82
